repo.url,repo.language
https://github.com/pnpm/pnpm,TypeScript
https://github.com/webdriverio/webdriverio,TypeScript
https://github.com/projectdiscovery/nuclei-templates,JavaScript
https://github.com/rust-lang/libc,Rust
https://github.com/apache/cloudstack,Java
https://github.com/brianc/node-postgres,JavaScript
https://github.com/junit-team/junit5,Java
https://github.com/puppeteer/puppeteer,TypeScript
https://github.com/meteor/meteor,JavaScript
https://github.com/dropwizard/dropwizard,Java
https://github.com/lovell/sharp,JavaScript
https://github.com/apache/netbeans,Java
https://github.com/Alluxio/alluxio,Java
https://github.com/sindresorhus/type-fest,TypeScript
https://github.com/ueberdosis/tiptap,TypeScript
https://github.com/elastic/elasticsearch,Java
https://github.com/grpc/grpc-java,Java
https://github.com/cakephp/cakephp,PHP
https://github.com/microsoft/winget-pkgs,
https://github.com/pygments/pygments,Python
https://github.com/openshift/release,Shell
https://github.com/flutter/packages,Dart
https://github.com/googleapis/google-cloud-ruby,Ruby
https://github.com/microsoft/fluentui,TypeScript
https://github.com/github/codeql,CodeQL
https://github.com/phpstan/phpstan,PHP
https://github.com/void-linux/void-packages,Shell
https://github.com/zio/zio,Scala
https://github.com/aws/aws-sdk-js,JavaScript
https://github.com/osmandapp/OsmAnd,Java
https://github.com/stretchr/testify,Go
https://github.com/tensorflow/tensorflow,C++
https://github.com/reduxjs/redux,TypeScript
https://github.com/moment/moment,JavaScript
https://github.com/BabylonJS/Babylon.js,TypeScript
https://github.com/macports/macports-ports,Tcl
https://github.com/mautic/mautic,PHP
https://github.com/laravel/laravel,PHP
https://github.com/opencart/opencart,PHP
https://github.com/python-pillow/Pillow,Python
https://github.com/open-mpi/ompi,C
https://github.com/Kong/kong,Lua
https://github.com/SlackBuildsOrg/slackbuilds,Shell
https://github.com/apollographql/apollo-server,TypeScript
https://github.com/dlang/dmd,D
https://github.com/KhronosGroup/Vulkan-ValidationLayers,C++
https://github.com/trilinos/Trilinos,C++
https://github.com/emotion-js/emotion,JavaScript
https://github.com/jsx-eslint/eslint-plugin-react,JavaScript
https://github.com/bioconda/bioconda-recipes,Shell
https://github.com/termux/termux-packages,Shell
https://github.com/endlessm/linux,C
https://github.com/webpack/webpack-dev-server,JavaScript
https://github.com/Azure/azure-sdk-for-java,Java
https://github.com/akka/akka,Scala
